T1,T2,T3,T4,Delay,Offset
1520717516.040119,1520717516.040347,1520717516.040427,1520717516.043532,3.3330917358398438,-1.4383792877197266
1520717516.046596,1520717516.046624,1520717516.04664,1520717516.049633,3.0210018157958984,-1.4826059341430664
1520717516.052972,1520717516.05389,1520717516.053904,1520717516.054161,1.1749267578125,0.3304481506347656
1520717516.056729,1520717516.05676,1520717516.056777,1520717516.056957,0.2110004425048828,-0.07450580596923828
1520717516.05757,1520717516.059628,1520717516.059665,1520717516.060062,2.454996109008789,0.830531120300293
1520717516.060188,1520717516.060211,1520717516.060222,1520717516.060564,0.3650188446044922,-0.1596212387084961
1520717516.060654,1520717516.061029,1520717516.061042,1520717516.061382,0.7150173187255859,0.017523765563964844
1520717516.064814,1520717516.061512,1520717516.061524,1520717516.064862,0.03600120544433594,-3.3200979232788086
1520717516.065041,1520717516.06648,1520717516.066498,1520717516.068022,2.962827682495117,-0.042557716369628906
1520717516.075622,1520717516.075452,1520717516.075497,1520717516.075908,0.2410411834716797,-0.2905130386352539
1520717516.080024,1520717516.078902,1520717516.078914,1520717516.080054,0.01811981201171875,-1.1310577392578125
1520717516.084417,1520717516.085839,1520717516.085855,1520717516.086868,2.434968948364258,0.20444393157958984
1520717516.089407,1520717516.088461,1520717516.088473,1520717516.089659,0.23984909057617188,-1.065969467163086
1520717516.092048,1520717516.090852,1520717516.090869,1520717516.092104,0.03910064697265625,-1.2154579162597656
1520717516.092281,1520717516.092281,1520717516.092296,1520717516.092421,0.1251697540283203,-0.06258487701416016
1520717516.092528,1520717516.094118,1520717516.09413,1520717516.094582,2.042055130004883,0.5689859390258789
1520717516.094698,1520717516.094714,1520717516.094725,1520717516.094834,0.1251697540283203,-0.04661083221435547
1520717516.094945,1520717516.094963,1520717516.094973,1520717516.10059,5.63502311706543,-2.799391746520996
1520717516.102002,1520717516.101974,1520717516.101995,1520717516.102345,0.32210350036621094,-0.18894672393798828
1520717516.104419,1520717516.105061,1520717516.105077,1520717516.105403,0.9679794311523438,0.15807151794433594
1520717516.112348,1520717516.112264,1520717516.112279,1520717516.112377,0.013828277587890625,-0.09107589721679688
1520717516.113749,1520717516.113219,1520717516.113234,1520717516.113773,0.009059906005859375,-0.5345344543457031
1520717516.115607,1520717516.114833,1520717516.114845,1520717516.11563,0.010967254638671875,-0.7793903350830078
1520717516.11647,1520717516.116492,1520717516.116504,1520717516.116866,0.3840923309326172,-0.17011165618896484
1520717516.120262,1520717516.119846,1520717516.119873,1520717516.12192,1.6312599182128906,-1.2314319610595703
1520717516.126366,1520717516.125463,1520717516.125477,1520717516.126399,0.019073486328125,-0.9124279022216797
1520717516.131407,1520717516.130921,1520717516.130943,1520717516.131445,0.015735626220703125,-0.4940032958984375
1520717516.134284,1520717516.13432,1520717516.134336,1520717516.134781,0.48089027404785156,-0.20444393157958984
1520717516.135375,1520717516.137671,1520717516.137706,1520717516.139587,4.176855087280273,0.20754337310791016
1520717516.141605,1520717516.144682,1520717516.144697,1520717516.144902,3.2820701599121094,1.435995101928711
1520717516.146164,1520717516.145111,1520717516.145123,1520717516.146197,0.021219253540039062,-1.0634660720825195
1520717516.147214,1520717516.146356,1520717516.146364,1520717516.147233,0.011205673217773438,-0.8634328842163086
1520717516.148685,1520717516.147387,1520717516.147399,1520717516.148716,0.019073486328125,-1.3074874877929688
1520717516.149639,1520717516.149661,1520717516.149672,1520717516.150372,0.7221698760986328,-0.3389120101928711
1520717516.152325,1520717516.152516,1520717516.152532,1520717516.152748,0.4069805145263672,-0.012516975402832031
1520717516.153288,1520717516.152924,1520717516.152936,1520717516.153312,0.012159347534179688,-0.3699064254760742
1520717516.155504,1520717516.155529,1520717516.155546,1520717516.157196,1.6751289367675781,-0.812530517578125
1520717516.157461,1520717516.157536,1520717516.15756,1520717516.162763,5.278110504150391,-2.563953399658203
1520717516.163408,1520717516.162955,1520717516.162968,1520717516.163435,0.014066696166992188,-0.46002864837646484
1520717516.164232,1520717516.163567,1520717516.16358,1520717516.164258,0.013113021850585938,-0.6715059280395508
1520717516.166088,1520717516.164498,1520717516.164512,1520717516.166124,0.022172927856445312,-1.601099967956543
1520717516.166267,1520717516.168535,1520717516.168562,1520717516.168757,2.463102340698242,1.036524772644043
1520717516.16891,1520717516.168927,1520717516.168936,1520717516.169419,0.49996376037597656,-0.23305416107177734
1520717516.169627,1520717516.169767,1520717516.169779,1520717516.170061,0.4220008850097656,-0.07104873657226562
1520717516.172021,1520717516.170912,1520717516.171664,1520717516.172058,-0.7147789001464844,-0.751495361328125
1520717516.172453,1520717516.172185,1520717516.172194,1520717516.172554,0.09202957153320312,-0.3139972686767578
1520717516.17458,1520717516.172668,1520717516.17268,1520717516.174628,0.03600120544433594,-1.9301176071166992
1520717516.174876,1520717516.17679,1520717516.176803,1520717516.176958,2.0689964294433594,0.8795261383056641
1520717516.178117,1520717516.177656,1520717516.177667,1520717516.178137,0.009059906005859375,-0.46563148498535156
1520717516.181773,1520717516.180782,1520717516.180795,1520717516.181801,0.0152587890625,-0.9984970092773438
1520717516.185119,1520717516.186192,1520717516.18634,1520717516.195101,9.834051132202148,-3.8439035415649414
1520717516.198005,1520717516.195607,1520717516.195624,1520717516.198051,0.028848648071289062,-2.41243839263916
1520717516.200173,1520717516.19819,1520717516.198207,1520717516.200206,0.01621246337890625,-1.9910335540771484
1520717516.203369,1520717516.203454,1520717516.203471,1520717516.203734,0.34809112548828125,-0.08893013000488281
1520717516.206563,1520717516.203911,1520717516.203918,1520717516.206622,0.051975250244140625,-2.67791748046875
1520717516.208412,1520717516.211283,1520717516.211302,1520717516.216766,8.335113525390625,-1.2965202331542969
1520717516.22409,1520717516.223056,1520717516.223085,1520717516.225415,1.2960433959960938,-1.6820430755615234
1520717516.237902,1520717516.237286,1520717516.237304,1520717516.238688,0.7681846618652344,-0.9999275207519531
1520717516.243513,1520717516.243031,1520717516.243044,1520717516.243544,0.01811981201171875,-0.49114227294921875
1520717516.244507,1520717516.244033,1520717516.244041,1520717516.244544,0.029087066650390625,-0.48851966857910156
1520717516.248212,1520717516.244913,1520717516.245017,1520717516.248272,-0.04410743713378906,-3.276944160461426
1520717516.249097,1520717516.249404,1520717516.249616,1520717516.266989,17.679929733276367,-8.533120155334473
1520717516.277028,1520717516.276323,1520717516.27634,1520717516.277748,0.7030963897705078,-1.0565519332885742
1520717516.28243,1520717516.281899,1520717516.281915,1520717516.282457,0.011205673217773438,-0.5365610122680664
1520717516.319405,1520717516.317388,1520717516.317405,1520717516.319438,0.015974044799804688,-2.025008201599121
1520717516.322179,1520717516.320879,1520717516.320889,1520717516.322207,0.017881393432617188,-1.309037208557129
1520717516.325565,1520717516.323939,1520717516.323955,1520717516.325659,0.07796287536621094,-1.6649961471557617
1520717516.327635,1520717516.327662,1520717516.327674,1520717516.328018,0.37097930908203125,-0.15854835510253906
1520717516.331511,1520717516.331217,1520717516.331266,1520717516.331537,-0.02288818359375,-0.28252601623535156
1520717516.353906,1520717516.354204,1520717516.354226,1520717516.356198,2.2699832916259766,-0.8369684219360352
1520717516.36906,1520717516.369319,1520717516.369337,1520717516.369583,0.5047321319580078,0.006556510925292969
1520717516.398064,1520717516.36986,1520717516.369885,1520717516.404891,6.802082061767578,-31.605005264282227
1520717516.41039,1520717516.409935,1520717516.409951,1520717516.410417,0.011205673217773438,-0.46050548553466797
1520717516.410498,1520717516.410526,1520717516.410534,1520717516.410748,0.2422332763671875,-0.09298324584960938
1520717516.410827,1520717516.410946,1520717516.410954,1520717516.411193,0.3578662872314453,-0.05996227264404297
1520717516.411481,1520717516.411496,1520717516.411503,1520717516.412114,0.6258487701416016,-0.29790401458740234
1520717516.412189,1520717516.412203,1520717516.412211,1520717516.412404,0.2071857452392578,-0.08952617645263672
1520717516.412475,1520717516.412489,1520717516.412496,1520717516.413498,1.0156631469726562,-0.4940032958984375
1520717516.413984,1520717516.413726,1520717516.413737,1520717516.414012,0.016927719116210938,-0.2664327621459961
1520717516.41409,1520717516.414196,1520717516.414205,1520717516.414362,0.26297569274902344,-0.025391578674316406
1520717516.428627,1520717516.427971,1520717516.427989,1520717516.429252,0.6067752838134766,-0.9595155715942383
1520717516.431065,1520717516.431088,1520717516.431122,1520717516.431289,0.18978118896484375,-0.07200241088867188
1520717516.433412,1520717516.432559,1520717516.432566,1520717516.433865,0.44608116149902344,-1.0761022567749023
1520717516.435334,1520717516.434561,1520717516.43457,1520717516.435355,0.011920928955078125,-0.7789134979248047
1520717516.439908,1520717516.438763,1520717516.438778,1520717516.44254,2.61688232421875,-2.4535655975341797
1520717516.449614,1520717516.44609,1520717516.446106,1520717516.450087,0.4570484161376953,-3.752589225769043
1520717516.466091,1520717516.465683,1520717516.4657,1520717516.466125,0.0171661376953125,-0.4165172576904297
1520717516.466216,1520717516.466235,1520717516.466246,1520717516.466777,0.5500316619873047,-0.2561807632446289
1520717516.466871,1520717516.466887,1520717516.466895,1520717516.475605,8.725881576538086,-4.346966743469238
1520717516.476101,1520717516.476343,1520717516.476362,1520717516.476593,0.4730224609375,0.0054836273193359375
1520717516.480716,1520717516.478565,1520717516.478574,1520717516.480768,0.04291534423828125,-2.1724700927734375
1520717516.485782,1520717516.48611,1520717516.486131,1520717516.487358,1.5552043914794922,-0.4495382308959961
1520717516.489341,1520717516.487581,1520717516.487592,1520717516.489376,0.024080276489257812,-1.7720460891723633
1520717516.490635,1520717516.489586,1520717516.489626,1520717516.490663,-0.011682510375976562,-1.0429620742797852
1520717516.490755,1520717516.490846,1520717516.490872,1520717516.491346,0.5648136138916016,-0.19156932830810547
1520717516.491428,1520717516.491524,1520717516.491536,1520717516.491785,0.3452301025390625,-0.07653236389160156
1520717516.491864,1520717516.491892,1520717516.491903,1520717516.497666,5.790948867797852,-2.8673410415649414
1520717516.508688,1520717516.509349,1520717516.509363,1520717516.509455,0.7531642913818359,0.28455257415771484
1520717516.509754,1520717516.510163,1520717516.510172,1520717516.510342,0.5791187286376953,0.1195669174194336
1520717516.510485,1520717516.510574,1520717516.510582,1520717516.510719,0.2262592315673828,-0.02396106719970703
1520717516.510791,1520717516.510805,1520717516.510814,1520717516.510953,0.15282630920410156,-0.06258487701416016
1520717516.511023,1520717516.511355,1520717516.511372,1520717516.511501,0.4608631134033203,0.10144710540771484
